Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200101,Water - Precipitation - unspecified (not reported),2001-01-15,2001-01-01,2001-01-31,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200102,Water - Precipitation - unspecified (not reported),2001-02-15,2001-02-01,2001-02-28,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200103,Water - Precipitation - rain,2001-03-15,2001-03-01,2001-03-31,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200104,Water - Precipitation - rain,2001-04-15,2001-04-01,2001-04-30,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200105,Water - Precipitation - rain,2001-05-15,2001-05-01,2001-05-31,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200106,Water - Precipitation - rain,2001-06-15,2001-06-01,2001-06-30,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200107,Water - Precipitation - rain,2001-07-15,2001-07-01,2001-07-31,,,,,,,,,39.2,21.7,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200108,Water - Precipitation - rain,2001-08-15,2001-08-01,2001-08-31,,,,,,,,,40.5,23.2,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200109,Water - Precipitation - rain,2001-09-15,2001-09-01,2001-09-30,,-7.69,Geokarst,,,,,,219.9,14.5,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200110,Water - Precipitation - rain,2001-10-15,2001-10-01,2001-10-31,,-3.06,Geokarst,,,,,,44.7,15.2,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200111,Water - Precipitation - unspecified (not reported),2001-11-15,2001-11-01,2001-11-30,,-6.02,Geokarst,,,,,,45.6,6.6,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200112,Water - Precipitation - unspecified (not reported),2001-12-15,2001-12-01,2001-12-31,,-10.49,Geokarst,,,,,,28,1.1,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200201,Water - Precipitation - unspecified (not reported),2002-01-15,2002-01-01,2002-01-31,,-7.3,Geokarst,,,,,,19.8,2.9,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200202,Water - Precipitation - unspecified (not reported),2002-02-15,2002-02-01,2002-02-28,,-6.3,Geokarst,,,,,,77.5,5.4,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200203,Water - Precipitation - unspecified (not reported),2002-03-15,2002-03-01,2002-03-31,,,,,,,,,6.1,9.4,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200204,Water - Precipitation - unspecified (not reported),2002-04-15,2002-04-01,2002-04-30,,-9,Geokarst,,,,,,118.5,10.5,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200205,Water - Precipitation - unspecified (not reported),2002-05-15,2002-05-01,2002-05-31,,-3.3,Geokarst,,,,,,96.4,16,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200206,Water - Precipitation - unspecified (not reported),2002-06-15,2002-06-01,2002-06-30,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200207,Water - Precipitation - unspecified (not reported),2002-07-15,2002-07-01,2002-07-31,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200208,Water - Precipitation - unspecified (not reported),2002-08-15,2002-08-01,2002-08-31,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200209,Water - Precipitation - unspecified (not reported),2002-09-15,2002-09-01,2002-09-30,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200210,Water - Precipitation - unspecified (not reported),2002-10-15,2002-10-01,2002-10-31,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200211,Water - Precipitation - unspecified (not reported),2002-11-15,2002-11-01,2002-11-30,,,,,,,,,,,
GNIP,GNIP/M/IT/09,PADRICIANO,IT,1610001,45.65888889,13.83888889,365,Precipitation collectors - unknown,"[Partner: Geokarst, Trieste]",200212,Water - Precipitation - unspecified (not reported),2002-12-15,2002-12-01,2002-12-31,,,,,,,,,,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200001,Water - Precipitation - unspecified (not reported),2000-01-15,2000-01-01,2000-01-31,Precipitation amount from CRU data.,,,,,,,,3,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200002,Water - Precipitation - unspecified (not reported),2000-02-15,2000-02-01,2000-02-29,Precipitation amount from CRU data.,,,,,,,,21,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200003,Water - Precipitation - unspecified (not reported),2000-03-15,2000-03-01,2000-03-31,Precipitation amount from CRU data.,,,,,,,,92,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200004,Water - Precipitation - unspecified (not reported),2000-04-15,2000-04-01,2000-04-30,Precipitation amount from CRU data.,,,,,,,,138,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200005,Water - Precipitation - unspecified (not reported),2000-05-15,2000-05-01,2000-05-31,Precipitation amount from CRU data.,,,,,,,,172,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200006,Water - Precipitation - unspecified (not reported),2000-06-15,2000-06-01,2000-06-30,Precipitation amount from CRU data.,,,,,,,,111,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200007,Water - Precipitation - unspecified (not reported),2000-07-15,2000-07-01,2000-07-31,Precipitation amount from CRU data.,,,,,,,,140,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200008,Water - Precipitation - unspecified (not reported),2000-08-15,2000-08-01,2000-08-31,Precipitation amount from CRU data.,,,,,,,,68,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200009,Water - Precipitation - unspecified (not reported),2000-09-15,2000-09-01,2000-09-30,Precipitation amount from CRU data.,,,,,,,,128,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200010,Water - Precipitation - rain,2000-10-15,2000-10-01,2000-10-31,,-7.07,Jozef Stefan Institute,-45.94,Jozef Stefan Institute,7.03,0.3,Ruder Boskovic Institute,146.1,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200011,Water - Precipitation - unspecified (not reported),2000-11-15,2000-11-01,2000-11-30,,-6.52,Jozef Stefan Institute,-37.89,Jozef Stefan Institute,3.31,0.3,Ruder Boskovic Institute,330.6,,
GNIP,GNIP/M/SI/01,KOZINA,SI,1411001,45.6,13.93333333,497,Precipitation collectors - unknown,"[Partners: JSI, ARSO], [Reference: Vreca et al. 2006]",200012,Water - Precipitation - unspecified (not reported),2000-12-15,2000-12-01,2000-12-31,,-11.4,Jozef Stefan Institute,-83.9,Jozef Stefan Institute,1.61,0.3,Ruder Boskovic Institute,150.1,,
