/* DATA DESCRIPTION:
Citation:	Hernández, Armand; Sánchez-López, Guiomar; Pla-Rabes, Sergi; Comas-Bru, Laia; Parnell, Andrew; Cahill, Niamh; Geyer, Adelina; Trigo, Ricardo M; Giralt, Santiago (2020): NAO proxy-based reconstruction from Iberian Peninsula (-150 to 2010 CE). PANGAEA, https://doi.org/10.1594/PANGAEA.921916
Abstract:	We present a quantitative NAO reconstruction for the central Iberian Peninsula (IP) over the last two millennia, along with its uncertainties, by applying a Bayesian approach.
Keyword(s):	Bayesian Modeling; Common Era; lake sediments; Modes of Variability; NAO
Related to:	Hernández, Armand; Sánchez-López, Guiomar; Pla-Rabes, Sergi; Comas-Bru, Laia; Parnell, Andrew; Cahill, Niamh; Geyer, Adelina; Trigo, Ricardo M; Giralt, Santiago (2020): A 2,000-year Bayesian NAO reconstruction from the Iberian Peninsula. Scientific Reports, 10(1), https://doi.org/10.1038/s41598-020-71372-5
Coverage:	LATITUDE: 40.250000 * LONGITUDE: -5.300000
	MINIMUM ELEVATION: 2140.0 m * MAXIMUM ELEVATION: 2140.0 m
Event(s):	CIM12-04A * LATITUDE: 40.250000 * LONGITUDE: -5.300000 * ELEVATION: 2140.0 m * LOCATION: Iberian Central Range, Spain * COMMENT: Lake Cimera
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Hernández, Armand (https://orcid.org/0000-0001-7245-9863, ahhernandez@fc.ul.pt)
	Age [a AD] (Age) * PI: Hernández, Armand (https://orcid.org/0000-0001-7245-9863, ahhernandez@fc.ul.pt)
	Uncertainty [±] (Uncertainty) * PI: Hernández, Armand (https://orcid.org/0000-0001-7245-9863, ahhernandez@fc.ul.pt) * COMMENT: low limit of the 95% of uncertainity interval
	Uncertainty [±] (Uncertainty) * PI: Hernández, Armand (https://orcid.org/0000-0001-7245-9863, ahhernandez@fc.ul.pt) * COMMENT: low limit of the 50% of uncertainity interval
	North Atlantic Oscillation index (NAO) * PI: Hernández, Armand (https://orcid.org/0000-0001-7245-9863, ahhernandez@fc.ul.pt) * COMMENT: median NAO value
	Uncertainty [±] (Uncertainty) * PI: Hernández, Armand (https://orcid.org/0000-0001-7245-9863, ahhernandez@fc.ul.pt) * COMMENT: high limit of the 50% of uncertainity interval
	Uncertainty [±] (Uncertainty) * PI: Hernández, Armand (https://orcid.org/0000-0001-7245-9863, ahhernandez@fc.ul.pt) * COMMENT: high limit of the 95% of uncertainity interval
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1302 data points
*/
Age [ka BP]	Age [a AD]	Uncertainty [±] (low limit of the 95% of uncer...)	Uncertainty [±] (low limit of the 50% of uncer...)	NAO (median NAO value)	Uncertainty [±] (high limit of the 50% of unce...)	Uncertainty [±] (high limit of the 95% of unce...)
-0.05949	2009.49	-0.13	0.37	0.61	0.88	1.37
-0.04949	1999.49	-0.02	0.36	0.56	0.77	1.17
-0.03949	1989.49	1.63	2.04	2.25	2.45	2.87
-0.02949	1979.49	-1.88	-0.77	-0.23	0.39	1.39
-0.01949	1969.49	-0.96	-0.55	-0.35	-0.13	0.26
-0.00949	1959.49	-0.43	-0.02	0.19	0.41	0.77
0.00051	1949.49	0.49	0.88	1.10	1.30	1.73
0.01051	1939.49	-0.82	-0.42	-0.21	-0.01	0.39
0.02051	1929.49	-1.65	-0.30	0.38	1.14	2.51
0.03051	1919.49	-1.99	-0.77	-0.17	0.46	1.68
0.04051	1909.49	-1.47	-0.43	0.09	0.61	1.50
0.05051	1899.49	-1.12	-0.19	0.34	0.83	1.79
0.06051	1889.49	-1.74	-0.53	0.04	0.61	1.76
0.07051	1879.49	-0.99	-0.43	-0.13	0.16	0.67
0.08051	1869.49	-1.68	-0.45	0.14	0.80	1.97
0.09051	1859.49	-1.72	-0.44	0.28	0.91	2.06
0.10051	1849.49	-2.22	-0.85	-0.20	0.50	1.78
0.11051	1839.49	-2.44	-1.35	-0.82	-0.24	0.73
0.12051	1829.49	-2.12	-1.50	-1.15	-0.75	-0.13
0.13051	1819.49	-1.75	-0.96	-0.56	-0.15	0.57
0.14051	1809.49	-1.89	-0.94	-0.50	-0.04	0.81
0.15051	1799.49	-1.12	-0.29	0.14	0.62	1.51
0.16051	1789.49	-1.37	-0.26	0.34	0.89	2.00
0.17051	1779.49	-1.99	-0.80	-0.20	0.44	1.61
0.18051	1769.49	-2.56	-1.42	-0.83	-0.22	0.96
0.19051	1759.49	-2.74	-1.43	-0.72	0.00	1.32
0.20051	1749.49	-2.54	-1.12	-0.36	0.40	1.85
0.21051	1739.49	-2.48	-1.16	-0.40	0.33	1.84
0.22051	1729.49	-2.68	-1.35	-0.63	0.10	1.48
0.23051	1719.49	-2.63	-1.47	-0.82	-0.15	1.07
0.24051	1709.49	-2.06	-1.08	-0.59	-0.03	0.92
0.25051	1699.49	-2.36	-1.47	-1.01	-0.57	0.29
0.26051	1689.49	-2.60	-1.47	-0.84	-0.24	0.92
0.27051	1679.49	-2.67	-1.38	-0.68	-0.02	1.24
0.28051	1669.49	-2.66	-1.26	-0.49	0.31	1.79
0.29051	1659.49	-2.58	-1.12	-0.38	0.34	1.67
0.30051	1649.49	-2.23	-0.98	-0.34	0.28	1.47
0.31051	1639.49	-1.64	-0.52	0.06	0.68	1.82
0.32051	1629.49	-0.97	-0.02	0.42	0.87	1.80
0.33051	1619.49	-1.23	-0.22	0.33	0.89	1.92
0.34051	1609.49	-2.07	-0.94	-0.39	0.24	1.29
0.35051	1599.49	-1.76	-0.80	-0.34	0.18	1.18
0.36051	1589.49	-1.99	-0.96	-0.43	0.12	1.18
0.37051	1579.49	-2.53	-1.26	-0.59	0.07	1.27
0.38051	1569.49	-2.77	-1.48	-0.80	-0.13	1.18
0.39051	1559.49	-2.32	-1.00	-0.32	0.40	1.63
0.40051	1549.49	-2.34	-1.06	-0.34	0.37	1.60
