Age,SR,Ca,K_Area ,Br_Area ,K/Ti,Sr_Area 
-62,0.435919791,4553,225,5439,0.077989601,11565
-51,0.435919791,20189,1163,4641,0.460411718,11551
-39,0.435729847,232585,12468,5992,1.17169439,11951
-28,0.434782609,289706,15117,7917,1.323730298,15806
-16,0.433087917,281465,11852,7651,1.098729953,16521
-5,0.430292599,242127,10277,7835,1.022994227,16028
7,0.426439232,355618,14214,6675,1.280079251,16969
19,0.42158516,350175,13541,6266,1.294426919,17358
31,0.415627598,471067,14579,5386,1.345050281,18251
43,0.40866367,489642,11385,5417,1.345267636,18390
55,0.401123145,449911,10100,4443,1.212630568,18830
68,0.393545848,272300,15540,6563,1.308962264,16953
80,0.386548125,213774,16478,7230,1.365995192,16338
93,0.380083618,204578,13221,5808,1.134752382,16700
107,0.374251497,282883,16366,5977,1.314115947,19162
120,0.368731563,200906,12643,5898,1.07857021,16090
134,0.363768643,178000,7598,5975,0.742935367,18858
148,0.359195402,202418,11093,6100,0.985081254,17671
162,0.354987575,104203,6411,7279,0.71059632,17371
176,0.351246927,139501,7765,6295,0.811220226,17309
190,0.347705146,180825,10821,5611,0.925267208,18174
204,0.344589938,205569,9558,5305,0.969567864,18959
219,0.341646737,268230,15639,5403,1.278740801,17759
234,0.339097999,332887,12612,4332,1.198745366,18729
248,0.336813742,170556,12308,6031,0.998377677,16735
263,0.334896182,226887,14461,6187,1.109397775,18712
278,0.333111259,379559,18746,5407,1.417895772,19203
293,0.331674959,293036,21428,5821,1.428819097,18574
308,0.330360093,266537,15609,5557,1.197744015,17849
324,0.329380764,136651,5094,7341,0.678476292,17903
339,0.328623069,286833,22542,6568,1.47729209,18265
360,0.327976386,529468,18707,5149,1.531603078,19131
375,0.327868852,370976,17216,5368,1.404699739,17770
391,0.327868852,380290,23194,5597,1.709967561,18950
406,0.32808399,528361,25239,5455,1.849146458,18737
421,0.328623069,599162,28874,4838,2.097334205,18636
436,0.329380764,592230,29136,3427,2.249363082,18044
451,0.330360093,546166,18495,4615,1.758581344,16829
461,0.331125828,590435,15491,3947,1.45141947,17466
470,0.331895121,896494,23927,3543,2.090607252,21543
488,0.333778371,272919,5569,5617,0.743425444,15867
503,0.33557047,239742,9843,5687,0.948905813,17623
517,0.337723742,354706,15867,5993,1.285089495,19737
532,0.340020401,360060,14779,5401,1.172006344,18717
547,0.34270048,403444,19847,5799,1.425585404,20326
561,0.345661943,380018,19793,6570,1.462464903,20209
576,0.348918353,344432,15319,5572,1.300203701,18961
590,0.352360817,536838,19393,4160,1.607509947,21356
604,0.355618777,295498,23443,5881,1.488066523,18141
618,0.358680057,411809,27737,5654,1.683479,19054
632,0.361794501,473331,29379,5231,1.881460134,20377
649,0.365363537,341222,28203,5789,1.717495889,18465
662,0.368188513,406207,21461,4912,1.498882525,18606
676,0.370782351,680590,12913,3794,1.346366385,15077
689,0.373412995,333533,19659,6351,1.419319905,15865
703,0.375798572,406875,33761,4650,2.114158682,20254
716,0.378071834,483859,29945,2294,2.14721067,24064
729,0.380083618,368272,21325,3830,1.620687035,21145
742,0.382116928,379574,19444,5229,1.470023437,16633
768,0.385505012,316999,25782,5879,1.630636898,18019
781,0.386996904,242302,27382,5864,1.677099283,17569
794,0.388198758,230985,26342,6421,1.765549598,16044
807,0.38925652,324947,26794,5253,1.82520436,18770
