,Serial Number:20440475 --,,,,,,
,,,,,,,
Serial Number,Date Time - GMT +01:00,"Temp, (*C)","RH, (%)","DewPt, (*C)",Host Connect,Button Down,EOF
20440475,08/08/18 09:56,8.92,59.4,1.45, , , 
20440475,08/08/18 10:56,0.68,91.38,-0.56, , , 
20440475,08/08/18 11:56,0.6,93.29,-0.36, , , 
20440475,08/08/18 12:56,0.51,93.67,-0.39, , , 
20440475,08/08/18 13:56,0.6,94.1,-0.24, , , 
20440475,08/08/18 14:56,0.55,94.42,-0.24, , , 
20440475,08/08/18 15:56,0.51,95.23,-0.17, , , 
20440475,08/08/18 16:56,0.51,95.18,-0.17, , , 
20440475,08/08/18 17:56,0.51,95.23,-0.17, , , 
20440475,08/08/18 18:56,0.47,95.61,-0.15, , , 
20440475,08/08/18 19:56,0.51,96.01,-0.05, , , 
20440475,08/08/18 20:56,0.47,95.99,-0.1, , , 
20440475,08/08/18 21:56,0.51,96.34,-0.01, , , 
20440475,08/08/18 22:56,0.47,96.36,-0.05, , , 
20440475,08/08/18 23:56,0.51,96.71,0.05, , , 
20440475,09/08/18 00:56,0.47,96.77,0.01, , , 
20440475,09/08/18 01:56,0.38,96.69,-0.09, , , 
20440475,09/08/18 02:56,0.34,96.69,-0.13, , , 
20440475,09/08/18 03:56,0.25,97.03,-0.16, , , 
20440475,09/08/18 04:56,0.25,97.03,-0.16, , , 
20440475,09/08/18 05:56,0.38,97.11,-0.02, , , 
20440475,09/08/18 06:56,0.47,97.49,0.11, , , 
20440475,09/08/18 07:56,0.55,97.51,0.2, , , 
20440475,09/08/18 08:56,0.6,97.89,0.3, , , 
20440475,09/08/18 09:56,0.55,97.89,0.26, , , 
20440475,09/08/18 10:56,0.6,97.89,0.3, , , 
20440475,09/08/18 11:56,0.51,97.91,0.22, , , 
20440475,09/08/18 12:56,0.6,97.94,0.31, , , 
20440475,09/08/18 13:56,0.6,98.29,0.35, , , 
20440475,09/08/18 14:56,0.6,98.29,0.35, , , 
20440475,09/08/18 15:56,0.55,98.26,0.31, , , 
20440475,09/08/18 16:56,0.55,98.26,0.31, , , 
20440475,09/08/18 17:56,0.51,98.63,0.32, , , 
20440475,09/08/18 18:56,0.55,98.66,0.36, , , 
20440475,09/08/18 19:56,0.55,98.68,0.37, , , 
20440475,09/08/18 20:56,0.51,98.68,0.32, , , 
20440475,09/08/18 21:56,0.47,98.63,0.27, , , 
20440475,09/08/18 22:56,0.43,98.66,0.24, , , 
20440475,09/08/18 23:56,0.43,98.66,0.24, , , 
20440475,10/08/18 00:56,0.47,99,0.33, , , 
20440475,10/08/18 01:56,0.47,99.06,0.33, , , 
20440475,10/08/18 02:56,0.47,99.06,0.33, , , 
20440475,10/08/18 03:56,0.43,98.98,0.28, , , 
20440475,10/08/18 04:56,0.47,99.06,0.33, , , 
20440475,10/08/18 05:56,0.47,99,0.33, , , 
20440475,10/08/18 06:56,0.47,99.37,0.38, , , 
20440475,10/08/18 07:56,0.47,99.37,0.38, , , 
20440475,10/08/18 08:56,0.47,99.37,0.38, , , 
20440475,10/08/18 09:56,0.47,99.43,0.39, , , 
20440475,10/08/18 10:56,0.51,99.43,0.43, , , 
20440475,10/08/18 11:56,0.47,99.43,0.39, , , 
20440475,10/08/18 12:56,0.47,99.37,0.38, , , 
20440475,10/08/18 13:56,0.47,99.43,0.39, , , 
20440475,10/08/18 14:56,0.51,99.4,0.42, , , 
